20170101;5;-8;19
20170102;30;-3;68
20170103;50;15;71
20170104;58;26;73
20170105;0;-59;33
20170106;-30;-65;-3
20170107;-2;-21;34
20170108;43;28;61
20170109;48;33;59
20170110;53;29;66
20170111;72;57;104
20170112;52;2;74
20170113;31;2;56
20170114;18;1;48
20170115;7;-18;48
20170116;-16;-44;12
20170117;-34;-50;13
20170118;-38;-53;-19
20170119;-20;-56;31
20170120;-3;-52;51
20170121;-2;-52;50
20170122;-17;-74;37
20170123;16;-3;31
20170124;8;0;21
20170125;-11;-43;6
20170126;-28;-53;6
20170127;8;-70;51
20170128;54;20;81
20170129;47;31;65
20170130;49;28;72
20170131;37;26;61
20170201;34;5;54
20170202;86;52;125
20170203;86;63;119
20170204;57;26;74
20170205;44;-11;77
20170206;43;-10;66
20170207;24;9;39
20170208;0;-11;9
20170209;-16;-30;-10
20170210;-23;-45;-13
20170211;-4;-17;10
20170212;7;-6;25
20170213;22;-14;71
20170214;38;-5;94
20170215;74;3;135
20170216;68;55;99
20170217;70;52;86
20170218;56;32;103
20170219;62;32;92
20170220;91;72;109
20170221;96;86;111
20170222;95;78;108
20170223;80;42;105
20170224;45;-6;87
20170225;58;18;89
20170226;87;67;106
20170227;87;43;106
20170228;47;32;65
20170301;63;32;94
20170302;66;42;82
20170303;59;12;88
20170304;92;62;132
20170305;69;38;106
20170306;60;32;95
20170307;67;45;94
20170308;59;8;106
20170309;77;7;128
20170310;65;-9;112
20170311;73;15;130
20170312;79;14;148
20170313;65;-5;137
20170314;88;32;149
20170315;90;16;139
20170316;94;11;168
20170317;83;67;103
20170318;97;74;127
20170319;113;98;127
20170320;103;88;115
20170321;75;13;98
20170322;63;-3;124
20170323;82;19;140
20170324;84;31;142
20170325;85;21;143
20170326;80;33;130
20170327;92;18;174
20170328;113;6;197
20170329;126;103;147
20170330;157;108;218
20170331;145;89;218
20170401;108;60;141
20170402;103;44;169
20170403;81;27;143
20170404;98;22;165
20170405;92;62;128
20170406;81;38;118
20170407;105;73;138
20170408;96;29;155
20170409;117;8;210
20170410;98;41;155
20170411;96;23;138
20170412;98;83;119
20170413;93;60;133
20170414;99;65;130
20170415;96;65;121
20170416;79;50;108
20170417;65;27;109
20170418;61;8;111
20170419;39;-13;83
20170420;69;-34;129
20170421;111;82;149
20170422;78;40;113
20170423;66;20;114
20170424;93;52;130
20170425;59;21;99
20170426;50;-14;104
20170427;61;-20;109
20170428;76;30;117
20170429;76;5;140
20170430;123;33;184
20170501;117;82;137
20170502;100;47;152
20170503;107;77;152
20170504;104;77;133
20170505;89;66;111
20170506;128;59;188
20170507;117;86;162
20170508;97;43;153
20170509;80;11;138
20170510;90;-1;159
20170511;154;47;228
20170512;155;120;212
20170513;140;85;190
20170514;134;66;199
20170515;149;55;212
20170516;204;152;262
20170517;223;144;284
20170518;165;144;211
20170519;136;105;167
20170520;125;74;173
20170521;144;54;202
20170522;176;81;246
20170523;161;99;210
20170524;159;90;223
20170525;174;92;230
20170526;203;110;266
20170527;229;160;319
20170528;205;149;266
20170529;219;154;286
20170530;183;155;212
20170531;174;107;222
20170601;166;75;234
20170602;198;108;266
20170603;184;143;237
20170604;154;87;195
20170605;171;84;229
20170606;141;110;174
20170607;140;113;174
20170608;168;117;232
20170609;165;130;196
20170610;178;117;239
20170611;199;121;271
20170612;161;145;178
20170613;163;93;208
20170614;174;75;244
20170615;200;120;264
20170616;162;129;180
20170617;186;129;232
20170618;208;111;278
20170619;236;137;309
20170620;216;149;274
20170621;214;131;291
20170622;229;171;308
20170623;196;168;232
20170624;171;163;179
20170625;175;154;190
20170626;168;123;206
20170627;173;113;218
20170628;180;150;219
20170629;175;133;217
20170630;162;116;208
20170701;161;139;210
20170702;156;89;196
20170703;166;81;220
20170704;186;150;232
20170705;190;120;248
20170706;199;108;265
20170707;206;153;260
20170708;186;113;245
20170709;172;91;232
20170710;196;140;259
20170711;177;153;207
20170712;149;89;182
20170713;146;74;205
20170714;142;80;186
20170715;172;109;215
20170716;186;160;221
20170717;186;130;231
20170718;199;120;252
20170719;235;180;294
20170720;191;135;242
20170721;182;128;227
20170722;194;145;242
20170723;160;132;191
20170724;161;119;202
20170725;167;140;200
20170726;190;138;236
20170727;185;162;214
20170728;172;148;210
20170729;182;162;205
20170730;188;133;229
20170731;181;126;228
20170801;178;125;227
20170802;176;135;220
20170803;190;165;225
20170804;183;154;218
20170805;159;106;204
20170806;158;90;217
20170807;168;88;226
20170808;162;141;196
20170809;167;123;213
20170810;157;97;205
20170811;167;120;203
20170812;168;125;216
20170813;162;100;215
20170814;179;105;241
20170815;179;136;218
20170816;176;116;233
20170817;173;121;199
20170818;169;130;201
20170819;154;127;196
20170820;158;115;198
20170821;159;112;208
20170822;182;129;235
20170823;196;129;250
20170824;179;111;222
20170825;169;102;234
20170826;182;100;250
20170827;178;110;247
20170828;187;106;268
20170829;210;122;290
20170830;178;135;225
20170831;144;95;197
20170901;147;98;193
20170902;133;77;194
20170903;130;57;200
20170904;158;84;216
20170905;186;158;217
20170906;159;136;183
20170907;156;130;185
20170908;151;139;158
20170909;132;82;177
20170910;139;82;177
20170911;141;117;174
20170912;146;122;183
20170913;141;108;176
20170914;117;102;144
20170915;125;97;164
20170916;106;62;129
20170917;108;48;172
20170918;120;74;162
20170919;120;80;174
20170920;135;80;175
20170921;134;89;186
20170922;119;58;192
20170923;109;39;183
20170924;121;45;204
20170925;142;97;181
20170926;132;86;172
20170927;136;66;202
20170928;158;127;206
20170929;171;127;227
20170930;131;77;157
20171001;141;97;174
20171002;156;134;179
20171003;136;118;164
20171004;130;114;152
20171005;129;103;160
20171006;116;95;150
20171007;122;106;143
20171008;121;97;147
20171009;121;101;134
20171010;143;124;158
20171011;148;142;161
20171012;134;108;161
20171013;153;109;182
20171014;148;96;199
20171015;158;93;221
20171016;186;137;244
20171017;129;82;166
20171018;137;104;186
20171019;157;101;204
20171020;137;104;167
20171021;132;104;175
20171022;108;96;132
20171023;126;103;152
20171024;153;130;171
20171025;142;90;171
20171026;140;127;175
20171027;118;99;144
20171028;124;93;153
20171029;107;68;152
20171030;83;45;121
20171031;101;82;112
20171101;112;96;135
20171102;98;38;140
20171103;88;34;124
20171104;106;74;131
20171105;78;50;109
20171106;48;-5;109
20171107;33;-13;98
20171108;59;24;76
20171109;87;62;111
20171110;92;58;118
20171111;66;38;94
20171112;52;32;64
20171113;62;10;103
20171114;77;27;92
20171115;94;85;102
20171116;93;62;107
20171117;56;6;110
20171118;69;35;96
20171119;67;44;99
20171120;78;46;118
20171121;115;106;124
20171122;114;105;133
20171123;111;82;144
20171124;69;43;92
20171125;37;-6;74
20171126;53;30;80
20171127;67;47;91
20171128;54;12;78
20171129;29;6;40
20171130;15;-24;46
20171201;0;-28;31
20171202;-4;-12;6
20171203;37;3;66
20171204;70;52;91
20171205;76;54;91
20171206;80;69;92
20171207;59;43;72
20171208;26;3;61
20171209;21;4;46
20171210;11;0;41
20171211;-1;-29;16
20171212;18;3;41
20171213;40;8;64
20171214;33;4;54
20171215;26;-2;43
20171216;27;1;62
20171217;25;-28;63
20171218;59;22;80
20171219;52;13;75
20171220;75;49;87
20171221;84;76;93
20171222;86;73;96
20171223;87;80;94
20171224;82;72;96
20171225;74;45;91
20171226;58;46;74
20171227;51;36;66
20171228;39;24;53
20171229;28;-7;67
20171230;88;39;122
20171231;106;85;137
